initial_alias,converted_alias,name,description,namespace
HSPA6,ENSG00000173110,HSPA6,heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSPA1A,ENSG00000204389,HSPA1A,heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSPA1B,ENSG00000204388,HSPA1B,heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DNAJB1,ENSG00000132002,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BAG3,ENSG00000151929,BAG3,BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PNLDC1,ENSG00000146453,PNLDC1,PARN like ribonuclease domain containing exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:21185],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CRYAB,ENSG00000109846,CRYAB,crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSPH1,ENSG00000120694,HSPH1,heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FOS,ENSG00000170345,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZFAND2A,ENSG00000178381,ZFAND2A,zinc finger AN1-type containing 2A [Source:HGNC Symbol;Acc:HGNC:28073],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RRAD,ENSG00000166592,RRAD,"RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LTA,ENSG00000226979,LTA,lymphotoxin alpha [Source:HGNC Symbol;Acc:HGNC:6709],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSPA1L,ENSG00000204390,HSPA1L,heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DNAJB4,ENSG00000162616,DNAJB4,DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DEDD2,ENSG00000160570,DEDD2,death effector domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24450],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DCAF4L1,ENSG00000182308,DCAF4L1,DDB1 and CUL4 associated factor 4 like 1 [Source:HGNC Symbol;Acc:HGNC:27723],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PGF,ENSG00000119630,PGF,placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IER5,ENSG00000162783,IER5,immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HBA2,ENSG00000188536,HBA2,hemoglobin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:4824],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FKBP4,ENSG00000004478,FKBP4,FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MIA,ENSG00000261857,MIA,MIA SH3 domain containing [Source:HGNC Symbol;Acc:HGNC:7076],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TENT5A,ENSG00000112773,TENT5A,terminal nucleotidyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:18345],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ACTRT3,ENSG00000184378,ACTRT3,actin related protein T3 [Source:HGNC Symbol;Acc:HGNC:24022],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RGS2,ENSG00000116741,RGS2,regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
VHLL,ENSG00000189030,VHLL,VHL like [Source:HGNC Symbol;Acc:HGNC:30666],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TEX43,ENSG00000196900,TEX43,testis expressed 43 [Source:HGNC Symbol;Acc:HGNC:33767],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SERPINH1,ENSG00000149257,SERPINH1,serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FOSB,ENSG00000125740,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RFPL2,ENSG00000128253,RFPL2,ret finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:9979],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FBLL1,ENSG00000188573,FBLL1,fibrillarin like 1 [Source:HGNC Symbol;Acc:HGNC:35458],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LSMEM1,ENSG00000181016,LSMEM1,leucine rich single-pass membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:22036],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CCDC121,ENSG00000176714,CCDC121,coiled-coil domain containing 121 [Source:HGNC Symbol;Acc:HGNC:25833],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSPB1,ENSG00000106211,HSPB1,heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NHLH1,ENSG00000171786,NHLH1,nescient helix-loop-helix 1 [Source:HGNC Symbol;Acc:HGNC:7817],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CCDC81,ENSG00000149201,CCDC81,coiled-coil domain containing 81 [Source:HGNC Symbol;Acc:HGNC:26281],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TULP2,ENSG00000104804,TULP2,TUB like protein 2 [Source:HGNC Symbol;Acc:HGNC:12424],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DNAJA4,ENSG00000140403,DNAJA4,DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
EGR2,ENSG00000122877,EGR2,early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
